2019-01-24 09:05:24 
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/en-GB/en-GB.addon_jshopping_onestepcheckout.ini
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/ru-RU/ru-RU.addon_jshopping_onestepcheckout.ini
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/uk-UA/uk-UA.addon_jshopping_onestepcheckout.ini
2019-06-18 23:21:18 
Start install: /tmp/addon_incomev106.zip IP:94.233.21.206 UID:142
2019-06-18 23:21:18 Copy file: /administrator/components/com_jshopping/controllers/addon_income.php
2019-06-18 23:21:18 Copy file: /administrator/components/com_jshopping/lang/addon_income/en-GB.php
2019-06-18 23:21:18 Copy file: /administrator/components/com_jshopping/models/addon_income.php
2019-06-18 23:21:18 Copy file: /administrator/components/com_jshopping/views/addon_income/view.html.php
2019-06-18 23:21:18 Copy file: /administrator/components/com_jshopping/views/addon_income/tmpl/default.php
2019-06-18 23:21:18 Copy file: /components/com_jshopping/addons/addon_income/uninstall.php
2019-06-18 23:21:18 Copy file: /components/com_jshopping/addons/addon_income/js/joomla25.js
2019-06-18 23:21:18 Copy file: /components/com_jshopping/addons/addon_income/js/joomla30.js
2019-06-18 23:21:18 Copy file: /plugins/jshoppingadmin/addon_income/addon_income.php
2019-06-18 23:21:18 Copy file: /plugins/jshoppingadmin/addon_income/addon_income.xml
2019-06-18 23:21:18 Copy file: /plugins/jshoppingcheckout/addon_income/addon_income.php
2019-06-18 23:21:18 Copy file: /plugins/jshoppingcheckout/addon_income/addon_income.xml
2019-06-18 23:21:18 Copy file: /plugins/jshoppingmenu/addon_income/addon_income.php
2019-06-18 23:21:18 Copy file: /plugins/jshoppingmenu/addon_income/addon_income.xml
2019-06-18 23:21:18 Copy file: /plugins/jshoppingorder/addon_income/addon_income.php
2019-06-18 23:21:18 Copy file: /plugins/jshoppingorder/addon_income/addon_income.xml
2019-06-18 23:21:41 
Start install: /tmp/addon_informAvailability_141.zip IP:94.233.21.206 UID:142
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/controllers/requests_availability.php
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/language/en-GB/en-GB.addon_inform_availability_product.ini
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/language/ru-RU/ru-RU.addon_inform_availability_product.ini
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/models/requests_availability.php
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/views/requests_availability/view.html.php
2019-06-18 23:21:41 Copy file: /administrator/components/com_jshopping/views/requests_availability/tmpl/list.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/addons/inform_availability/config.tmpl.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/addons/inform_availability/index.html
2019-06-18 23:21:41 Copy file: /components/com_jshopping/addons/inform_availability/inform_availability_helper.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/addons/inform_availability/uninstall.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/controllers/inform_availability_product.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/css/inform_availability_product.css
2019-06-18 23:21:41 Copy file: /components/com_jshopping/lang/addon_inform_availability_product/en-GB.php
2019-06-18 23:21:41 Copy file: /components/com_jshopping/lang/addon_inform_availability_product/ru-RU.php
2019-06-18 23:21:41 Copy file: /plugins/jshoppingadmin/inform_availability_product/inform_availability_product.php
2019-06-18 23:21:41 Copy file: /plugins/jshoppingadmin/inform_availability_product/inform_availability_product.xml
2019-06-18 23:21:41 Copy file: /plugins/jshoppingmenu/requests_availability/requests_availability.php
2019-06-18 23:21:41 Copy file: /plugins/jshoppingmenu/requests_availability/requests_availability.xml
2019-06-18 23:21:41 Copy file: /plugins/jshoppingproducts/inform_availability_product/inform_availability_product.php
2019-06-18 23:21:41 Copy file: /plugins/jshoppingproducts/inform_availability_product/inform_availability_product.xml
2019-06-18 23:24:27 
Start install: /tmp/addon_joomshopcart_v353.zip IP:94.233.21.206 UID:142
2019-06-18 23:24:27 Copy file: /components/com_jshopping/addon_cartajax_uninstall.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/controllers/cartajax.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/controllers/cartajaxattributes.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/css/cartajax.css
2019-06-18 23:24:27 Copy file: /components/com_jshopping/css/index.html
2019-06-18 23:24:27 Copy file: /components/com_jshopping/helpers/cartajax.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/images/cartajax-loading.gif
2019-06-18 23:24:27 Copy file: /components/com_jshopping/js/cartajax.js
2019-06-18 23:24:27 Copy file: /components/com_jshopping/lang/addon_cart_ajax/en-GB.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/lang/addon_cart_ajax/ru-RU.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/models/cartajaxattributes.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/models/index.html
2019-06-18 23:24:27 Copy file: /components/com_jshopping/templates/addons/cartajax/cartajax.php
2019-06-18 23:24:27 Copy file: /components/com_jshopping/views/cartajax/view.html.php
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/cartajax_adv_module.css
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/cartajax_adv_module.js
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/mod_adv_jshopping_cartajax.php
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/mod_adv_jshopping_cartajax.xml
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/images/cartajax-remove.png
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/tmpl/default.php
2019-06-18 23:24:27 Copy file: /modules/mod_adv_jshopping_cartajax/tmpl/index.html
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/cartajax_module.css
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/cartajax_module.js
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/mod_jshopping_cartajax.php
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/mod_jshopping_cartajax.xml
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/images/cartajax-remove.png
2019-06-18 23:24:27 Copy file: /modules/mod_jshopping_cartajax/tmpl/default.php
